station_1,station_2,distance_meters
Franklin Av-Medgar Evers College,Crown Heights-Utica Av,1500.0005328571224
Eastchester-Dyre Av,Baychester Av,1254.6385909579913
Baychester Av,Gun Hill Rd,2328.098299921228
Gun Hill Rd,Pelham Pkwy,2251.548670135235
Pelham Pkwy,Morris Park,671.7411258576017
Morris Park,E 180 St,1765.3599695449705
3 Av-149 St,149 St-Grand Concourse,845.8077279613603
Bowling Green,Nereid Av,25375.304064984597
219 St,Burke Av,1445.4666910158828
Allerton Av,Bronx Park East,1852.1464403905431
Bronx Park East,Borough Hall,3232.4800791172897
Franklin Av-Medgar Evers College,President St-Medgar Evers College,0.0
President St-Medgar Evers College,Sterling St,571.944074364048
Beverly Rd,Newkirk Av-Little Haiti,1429.873235619832
Newkirk Av-Little Haiti,Flatbush Av-Brooklyn College,796.0318548167116
Pelham Bay Park,Buhre Av,731.368873790519
Buhre Av,Middletown Rd,455.05465100374306
Middletown Rd,Westchester Sq-East Tremont Av,711.3536882297138
Westchester Sq-East Tremont Av,Zerega Av,511.68638764108636
Zerega Av,Castle Hill Av,430.4200760945467
Castle Hill Av,Parkchester,815.7397507895232
Parkchester,St Lawrence Av,602.6509218754327
St Lawrence Av,Morrison Av-Soundview,621.6685284843379
Morrison Av-Soundview,Elder Av,404.06044546646916
Elder Av,Whitlock Av,641.5247088990566
Whitlock Av,Hunts Point Av,716.5312730917702
Hunts Point Av,Longwood Av,732.0557500841602
Longwood Av,E 149 St,782.2425320941871
E 149 St,E 143 St-Mary's St,481.86662755382497
E 143 St-Mary's St,Cypress Av,654.4096019133494
Cypress Av,Brook Av,501.4438005762093
Brook Av,3 Av-138 St,664.5692649712399
3 Av-138 St,125 St,2771.5559842433527
116 St,110 St,1432.8013572759503
110 St,103 St,2089.6483803576357
86 St,77 St,17748.931935620127
77 St,68 St-Hunter College,16243.322037012078
68 St-Hunter College,59 St,4573.497063084457
59 St,51 St,18631.19056112765
51 St,Grand Central-42 St,5994.913599116477
Grand Central-42 St,33 St,771.7673688894836
33 St,28 St,958.5606769752958
23 St,14 St-Union Sq,620.9303190411883
14 St-Union Sq,Astor Pl,639.0384373881005
Astor Pl,Bleeker St,1386.207891431181
Bleeker St,Spring St,385.4608791311432
Spring St,Canal St,431.7431765167428
Canal St,Brooklyn Bridge-City Hall,759.4036444833098
Flushing-Main St,Mets-Willets Point,1425.7518388655885
Mets-Willets Point,111 St,878.1089724768667
111 St,103 St-Corona Plaza,6240.479200222293
103 St-Corona Plaza,Junction Blvd,580.8891611827008
Junction Blvd,90 St-Elmhurst Av,602.0004413197026
90 St-Elmhurst Av,82 St-Jackson Hts,603.0857435518063
82 St-Jackson Hts,74 St-Broadway,3423.9041720144482
74 St-Broadway,69 St,2343.941922827819
69 St,61 St-Woodside,560.1091811689
61 St-Woodside,52 St,822.4258705817028
52 St,46 St-Bliss St,508.4110283087403
46 St-Bliss St,40 St-Lowery St,476.0805736724066
40 St-Lowery St,33 St-Rawson St,594.8022580755652
33 St-Rawson St,Queensboro Plaza,1022.405942756581
Queensboro Plaza,Court Sq,431.5822279430174
Court Sq,Hunters Point Av,758.4177886686873
Hunters Point Av,Vernon Blvd-Jackson Av,396.0916842234497
Vernon Blvd-Jackson Av,Grand Central-42 St,2208.3240531573574
Grand Central-42 St,5 Av,5482.220913698143
5 Av,Times Sq-42 St,6419.7662025884165
Times Sq-42 St,34 St-Hudson Yards,1286.3289258826746
Inwood-207 St,Dyckman St,963.5523104566469
Dyckman St,190 St,924.7996607746076
190 St,181 St,1059.0716734952923
181 St,175 St,500.6734328595804
175 St,168 St,742.1039874924179
168 St,145 St,1818.5579573457933
145 St,125 St,1570.513925270698
125 St,59 St-Columbus Circle,5364.985585973089
59 St-Columbus Circle,42 St-Port Authority Bus Terminal,2032.4490371056045
42 St-Port Authority Bus Terminal,34 St-Penn Station,3803.2782088447952
14 St,W 4 St-Washington Sq,956.6877313453698
W 4 St-Washington Sq,Canal St,1161.6544692867285
Canal St,Chambers St,909.9714793065122
Chambers St,Fulton St,8660.479720899346
Fulton St,High St,1825.9306824800035
High St,Jay St-MetroTech,823.515544801467
Jay St-MetroTech,Hoyt-Schermerhorn,471.6777247885578
Hoyt-Schermerhorn,Nostrand Av,3574.7196404605097
Nostrand Av,Utica Av,1665.0309741333244
Utica Av,Broadway Junction,2145.819277526258
Broadway Junction,Euclid Av,2819.820991659412
Euclid Av,Grant Av,623.5630676840105
Grant Av,80 St,572.7523670896383
80 St,88 St,636.3218262605843
88 St,Rockaway Blvd,644.9968063617556
Rockaway Blvd,104 St,539.8651785757428
104 St,111 St,6356.033111499042
111 St,Ozone Pk-Lefferts Boulevard,1554.4585436013203
Ozone Pk-Lefferts Boulevard,Aqueduct Racetrack,1761.079374134842
Aqueduct Racetrack,Aqueduct-North Conduit Av,456.9806738415067
Aqueduct-North Conduit Av,Howard Beach-JFK Airport,919.2035506861894
Howard Beach-JFK Airport,Broad Channel,5918.216014326808
Broad Channel,Beach 67 St,2518.4104027844255
Beach 67 St,Beach 60 St,727.2727791486263
Beach 60 St,Beach 44 St,1057.3362824709754
Beach 44 St,Beach 36 St,716.9520538883821
Beach 36 St,Beach 25 St,775.3041777377013
Beach 25 St,Far Rockaway-Mott Av,665.7325880412498
Far Rockaway-Mott Av,Broad Channel,5132.795426726969
Broad Channel,Beach 90 St,2270.6719273510544
Beach 90 St,Beach 98 St,658.0940381687591
Beach 98 St,Beach 105 St,635.4968551881776
Beach 105 St,Rockaway Park-Beach 116 St,725.3853239810969
168 St,163 St-Amsterdam Av,523.7130929965584
163 St-Amsterdam Av,155 St,626.1398414790968
155 St,145 St,1097.251114632244
116 St,Cathedral Pkwy (110 St),10116.418691102193
86 St,81 St-Museum of Natural History,18277.330260428167
81 St-Museum of Natural History,72 St,891.1142477246947
72 St,59 St-Columbus Circle,1963.407673900045
59 St-Columbus Circle,50 St,751.8438760015538
50 St,42 St-Port Authority Bus Terminal,1290.9618510345176
34 St-Penn Station,23 St,932.7228693363562
23 St,14 St,10031.203086181626
14 St,W 4-Washington Sq,7085.37616402202
W 4-Washington Sq,Spring St,5080.1755295124585
Hoyt-Schermerhorn,Lafayette Av,968.6989652617247
Lafayette Av,Clinton-Washington Avs,753.6978739855863
Clinton-Washington Avs,Franklin Av,786.0347897927404
Franklin Av,Nostrand Av,1391.1339025802574
Nostrand Av,Kingston-Throop Avs,808.5617547518924
Kingston-Throop Avs,Utica Av,856.4693194488116
Utica Av,Ralph Av,840.8883134988425
Ralph Av,Rockaway Av,2066.783028903847
