station_complex_id,station_complex,latitude,longitude,traffic_00,traffic_01,traffic_02,traffic_03,traffic_04,traffic_05,traffic_06,traffic_07,traffic_08,traffic_09,traffic_10,traffic_11,traffic_12,traffic_13,traffic_14,traffic_15,traffic_16,traffic_17,traffic_18,traffic_19,traffic_20,traffic_21,traffic_22,traffic_23
TRAM1,RI Tramway (Manhattan),40.761337,-73.96416,6.20470053070508,4.302118171683389,3.6473214285714284,1.9836065573770492,1.4,1.4149377593360997,4.311514572384137,6.203787195671777,9.866412213740459,17.929087048832272,27.210183299389,31.456823438704703,32.026977087952694,33.04278863887864,36.29244948599787,40.087340876944836,41.86697086697087,45.92686308492201,43.18223475502291,35.687114337568055,25.937570942111236,18.44628784736624,12.523996509598604,8.887246852764093
TRAM2,RI Tramway (Roosevelt),40.75734,-73.95412,6.461607949412827,5.349206349206349,3.954198473282443,2.0,1.2857142857142858,2.1029411764705883,5.2635983263598325,16.08580466587584,25.091246290801188,23.34972067039106,23.15105740181269,28.06235741444867,28.568038561364478,28.961922365988908,29.641284734752798,31.969285714285714,34.259949802796704,35.00547445255474,32.2008797653959,28.63112283345893,25.063306955435234,18.538349514563105,13.452637244348763,8.36687394007914
361,Buhre Av (6),40.84681,-73.832565,1.8191214470284238,1.2600896860986548,1.5567567567567568,2.2418032786885247,4.541162227602905,13.015682656826568,25.94449499545041,44.1354079058032,28.16837606837607,15.259673258813413,10.28804347826087,9.788655077767611,9.421774931381519,10.492687385740401,11.029543419874665,11.303636363636363,9.200181983621475,8.124524714828897,6.683481701285856,5.861111111111111,4.9656912209889,4.043383947939263,3.2910863509749304,1.8382978723404255
191,88 St (A),40.679844,-73.85147,1.473170731707317,1.38125,1.4497816593886463,2.0610687022900764,5.058050383351588,11.519342359767892,20.22406277244987,30.92953020134228,25.36195286195286,14.252212389380531,10.11749116607774,8.436459246275197,7.582230623818526,8.849315068493151,8.667298578199052,7.6735092864125125,6.465739821251241,5.991266375545852,4.695555555555556,3.681290322580645,3.1538461538461537,3.069408740359897,2.4535073409461665,1.7839506172839505
630,"Myrtle-Wyckoff Avs (L,M)",40.699814,-73.91158,10.697487437185929,7.140877598152425,5.666666666666667,6.510869565217392,13.740103270223752,51.74916943521595,97.82584269662921,149.54108527131783,164.61568322981367,111.7812257564003,80.86085626911316,75.43522110162917,77.60093896713614,78.06419180201082,89.8424289008455,87.08009153318078,82.02115987460814,82.20441988950276,70.83346550356859,54.012728719172635,39.782334384858046,30.07377049180328,23.8605220228385,15.600709849157054
620,"Court St (R)/Borough Hall (2,3,4,5)",40.692406,-73.99015,10.279802955665025,4.867153284671533,3.0238095238095237,2.3222003929273085,2.9033333333333333,6.662442396313364,20.441121495327103,69.94252873563218,138.56380316930776,108.6499176276771,85.48342764753436,89.14643696162882,96.1650868878357,96.05146476642913,111.37364341085271,158.49960285941222,195.847049689441,195.0188679245283,131.84597156398104,83.97042366107114,56.814932486100076,38.77822257806245,30.367430441898527,19.29642545771578
346,Sutter Av-Rutland Rd (3),40.66472,-73.92261,2.7645390070921985,2.31,2.0793388429752064,3.0779392338177014,5.8942598187311175,19.031413612565444,34.7310405643739,57.77018121911038,42.84974958263773,25.813838550247116,18.683291770573565,17.46271186440678,18.60327022375215,21.928270042194093,22.554276315789473,20.362098138747886,19.493595217762596,18.217162872154116,14.538006756756756,11.253357206803939,8.946167883211679,8.841463414634147,6.566056910569106,4.164245810055866
619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",40.725914,-73.99466,50.022827041264264,29.70617042115573,16.182308522114347,10.449771689497718,7.8,6.9699666295884315,17.830570902394108,48.24190800681431,105.61396131202692,85.33522727272727,73.25943775100401,89.91192954363491,116.2050274941084,161.46604215456674,172.10897927858787,230.71484375,264.22161741835146,320.7871517027864,309.0977147360126,218.88449612403102,171.39984164687252,130.680126682502,103.4906103286385,67.20602605863192
612,"Lexington Av-53 St (E,M)/51 St (6)",40.757553,-73.969055,41.13117546848382,15.369708372530575,6.924259055982437,5.624010554089709,5.553916004540295,9.770854271356784,24.84931506849315,66.03805668016194,136.297507788162,120.9739336492891,113.88379446640316,125.29767441860466,141.45046439628484,162.2420971472629,215.32588597842835,265.1912568306011,372.6474708171206,541.0750568612585,403.1456235476375,243.9984496124031,155.33566433566435,111.82371541501976,87.3265625,63.71405750798722
2,"Astoria Blvd (N,W)",40.77026,-73.91785,5.636111111111111,3.678707224334601,2.859122401847575,2.820840950639854,4.827050997782705,13.595171773444754,33.01075268817204,76.78501628664495,105.15798045602605,64.54602675059009,41.120063191153235,37.55016181229774,33.56166535742341,33.324088748019015,35.02254428341385,39.276595744680854,37.672874493927125,40.27622950819672,32.009942004971,20.256688963210703,16.290434782608695,12.207699194270367,10.801691729323307,8.162420382165605
